"ID"	"DAM"	"SIRE"	"SEX"	"COHORT"
"ELF_101"	"*"	"*"	"1"	"1998"
"ELF_102"	"F0011"	"*"	"2"	"2010"
"ELF_106"	"ELF_78"	"ELF_45"	"2"	"2010"
"ELF_107"	"ELF_78"	"ELF_45"	"2"	"2010"
"ELF_110"	"ELF_309"	"M0022"	"1"	"2010"
"ELF_111"	"ELF_64"	"ELF_179"	"1"	"2010"
"ELF_113"	"F0011"	"*"	"2"	"2010"
"ELF_119"	"ELF_152"	"M0013"	"1"	"2010"
"ELF_120"	"ELF_149"	"M0009"	"2"	"2010"
"ELF_122"	"ELF_152"	"M0013"	"2"	"2010"
"ELF_123"	"F0013"	"M0059"	"1"	"*"
"ELF_125"	"F0013"	"ELF_30"	"1"	"2010"
"ELF_126"	"ELF_152"	"M0013"	"2"	"2010"
"ELF_129"	"F0030"	"M0047"	"2"	"*"
"ELF_130"	"*"	"*"	"2"	"1998"
"ELF_131"	"ELF_58"	"M0012"	"2"	"2010"
"ELF_132"	"F0001"	"M0034"	"2"	"*"
"ELF_133"	"F0026"	"M0047"	"1"	"*"
"ELF_134"	"ELF_155"	"M0022"	"2"	"2009"
"ELF_135"	"*"	"*"	"1"	"2003"
"ELF_137"	"F0033"	"ELF_306"	"1"	"*"
"ELF_139"	"F0033"	"ELF_45"	"1"	"*"
"ELF_140"	"ELF_155"	"M0022"	"1"	"2010"
"ELF_142"	"*"	"*"	"2"	"2000"
"ELF_143"	"ELF_157"	"M0040"	"2"	"2010"
"ELF_144"	"*"	"*"	"1"	"1998"
"ELF_145"	"ELF_65"	"M0016"	"1"	"2010"
"ELF_146"	"F0009"	"M0032"	"2"	"2010"
"ELF_147"	"ELF_351"	"M0036"	"2"	"*"
"ELF_148"	"F0009"	"M0032"	"2"	"2010"
"ELF_149"	"F0004"	"*"	"1"	"2000"
"ELF_150"	"F0022"	"M0042"	"2"	"2002"
"ELF_151"	"F0024"	"ELF_45"	"2"	"*"
"ELF_152"	"*"	"M0053"	"1"	"2004"
"ELF_153"	"F0022"	"M0042"	"2"	"2003"
"ELF_154"	"F0024"	"M0044"	"1"	"*"
"ELF_155"	"*"	"*"	"1"	"1998"
"ELF_156"	"F0028"	"ELF_43"	"2"	"2008"
"ELF_157"	"*"	"*"	"1"	"1998"
"ELF_158"	"F0026"	"M0047"	"1"	"2004"
"ELF_159"	"F0014"	"ELF_49"	"2"	"*"
"ELF_160"	"ELF_200"	"M0017"	"1"	"2009"
"ELF_161"	"F0011"	"M0062"	"1"	"2002"
"ELF_162"	"ELF_326"	"M0008"	"1"	"2010"
"ELF_163"	"F0042"	"ELF_57"	"1"	"2010"
"ELF_164"	"F0001"	"M0034"	"2"	"*"
"ELF_165"	"ELF_181"	"M0022"	"2"	"2000"
"ELF_166"	"*"	"*"	"1"	"2000"
"ELF_167"	"ELF_185"	"M0039"	"1"	"2010"
"ELF_168"	"ELF_318"	"M0017"	"1"	"2010"
"ELF_169"	"ELF_70"	"M0037"	"2"	"2010"
"ELF_170"	"ELF_69"	"M0012"	"1"	"2010"
"ELF_171"	"ELF_154"	"M0010"	"2"	"2010"
"ELF_172"	"F0001"	"M0034"	"2"	"*"
"ELF_173"	"F0015"	"M0035"	"2"	"2010"
"ELF_174"	"*"	"*"	"1"	"2010"
"ELF_175"	"F0020"	"M0041"	"1"	"2003"
"ELF_176"	"F0013"	"ELF_30"	"1"	"2010"
"ELF_177"	"F0027"	"M0037"	"1"	"*"
"ELF_178"	"F0011"	"M0062"	"1"	"*"
"ELF_179"	"F0040"	"M0049"	"2"	"1998"
"ELF_180"	"ELF_383"	"ELF_150"	"1"	"2010"
"ELF_181"	"*"	"*"	"1"	"*"
"ELF_183"	"F0006"	"*"	"1"	"*"
"ELF_185"	"F0024"	"M0044"	"1"	"*"
"ELF_186"	"ELF_388"	"M0039"	"1"	"2010"
"ELF_187"	"F0027"	"M0037"	"1"	"*"
"ELF_188"	"F0006"	"M0052"	"2"	"*"
"ELF_189"	"F0013"	"ELF_30"	"1"	"2010"
"ELF_190"	"ELF_166"	"ELF_45"	"2"	"2010"
"ELF_191"	"ELF_359"	"M0036"	"2"	"2010"
"ELF_192"	"ELF_65"	"M0016"	"1"	"2010"
"ELF_194"	"F0037"	"ELF_45"	"1"	"2010"
"ELF_195"	"ELF_70"	"M0045"	"2"	"*"
"ELF_196"	"F0003"	"ELF_62"	"1"	"2010"
"ELF_198"	"ELF_166"	"M0050"	"1"	"*"
"ELF_199"	"ELF_152"	"M0013"	"2"	"2010"
"ELF_200"	"*"	"*"	"1"	"1998"
"ELF_202"	"ELF_321"	"ELF_150"	"2"	"2010"
"ELF_203"	"F0013"	"M0059"	"1"	"*"
"ELF_205"	"*"	"*"	"2"	"*"
"ELF_206"	"ELF_70"	"M0045"	"1"	"*"
"ELF_207"	"F0015"	"M0035"	"2"	"*"
"ELF_208"	"F0007"	"ELF_350"	"2"	"2010"
"ELF_209"	"ELF_36"	"M0021"	"2"	"*"
"ELF_210"	"ELF_154"	"M0010"	"2"	"2010"
"ELF_212"	"ELF_155"	"M0022"	"2"	"2002"
"ELF_213"	"F0003"	"ELF_62"	"1"	"2010"
"ELF_214"	"ELF_154"	"M0010"	"1"	"2010"
"ELF_215"	"F0020"	"M0041"	"1"	"*"
"ELF_216"	"ELF_35"	"ELF_153"	"2"	"2010"
"ELF_219"	"ELF_200"	"ELF_49"	"1"	"2011"
"ELF_220"	"ELF_200"	"ELF_49"	"2"	"2011"
"ELF_223"	"ELF_200"	"ELF_49"	"2"	"2011"
"ELF_224"	"ELF_200"	"ELF_49"	"2"	"2011"
"ELF_225"	"ELF_175"	"M0005"	"1"	"2011"
"ELF_226"	"ELF_175"	"M0005"	"1"	"2011"
"ELF_227"	"ELF_175"	"M0005"	"2"	"2011"
"ELF_228"	"ELF_175"	"M0005"	"2"	"2011"
"ELF_229"	"ELF_175"	"M0005"	"2"	"2011"
"ELF_230"	"ELF_175"	"M0005"	"2"	"2011"
"ELF_231"	"ELF_359"	"M0036"	"2"	"2010"
"ELF_232"	"ELF_37"	"M0009"	"1"	"2011"
"ELF_234"	"ELF_37"	"M0009"	"1"	"2011"
"ELF_235"	"ELF_37"	"M0009"	"2"	"2011"
"ELF_236"	"ELF_37"	"M0009"	"1"	"2011"
"ELF_238"	"ELF_37"	"M0009"	"2"	"2011"
"ELF_239"	"ELF_37"	"M0009"	"1"	"2011"
"ELF_240"	"ELF_37"	"M0009"	"2"	"2011"
"ELF_241"	"ELF_37"	"M0009"	"1"	"2011"
"ELF_242"	"ELF_155"	"ELF_49"	"2"	"2011"
"ELF_243"	"ELF_155"	"ELF_49"	"1"	"2011"
"ELF_245"	"ELF_155"	"ELF_49"	"1"	"2011"
"ELF_246"	"ELF_155"	"ELF_49"	"1"	"2011"
"ELF_247"	"ELF_155"	"ELF_49"	"1"	"2011"
"ELF_248"	"ELF_155"	"ELF_49"	"1"	"2011"
"ELF_249"	"ELF_155"	"ELF_49"	"1"	"2011"
"ELF_250"	"ELF_155"	"ELF_49"	"1"	"2011"
"ELF_251"	"ELF_155"	"ELF_49"	"2"	"2011"
"ELF_252"	"ELF_155"	"ELF_49"	"2"	"2011"
"ELF_253"	"ELF_155"	"ELF_49"	"1"	"2011"
"ELF_254"	"ELF_155"	"ELF_49"	"1"	"2011"
"ELF_255"	"ELF_181"	"ELF_350"	"2"	"2011"
"ELF_256"	"ELF_181"	"ELF_350"	"1"	"2011"
"ELF_257"	"ELF_183"	"M0004"	"1"	"2011"
"ELF_258"	"ELF_183"	"M0004"	"1"	"2011"
"ELF_259"	"ELF_183"	"M0004"	"1"	"2011"
"ELF_26"	"F0011"	"*"	"2"	"*"
"ELF_260"	"F0034"	"M0054"	"2"	"*"
"ELF_261"	"F0016"	"M0037"	"1"	"2010"
"ELF_262"	"ELF_206"	"M0003"	"1"	"2011"
"ELF_263"	"ELF_206"	"M0003"	"1"	"2011"
"ELF_264"	"ELF_206"	"M0003"	"1"	"2011"
"ELF_265"	"ELF_206"	"M0003"	"2"	"2011"
"ELF_266"	"ELF_206"	"M0003"	"1"	"2011"
"ELF_267"	"ELF_206"	"M0003"	"2"	"2011"
"ELF_268"	"F0025"	"M0007"	"2"	"2010"
"ELF_269"	"*"	"*"	"2"	"2000"
"ELF_27"	"ELF_36"	"M0021"	"1"	"2006"
"ELF_270"	"ELF_318"	"M0017"	"1"	"2010"
"ELF_271"	"ELF_357"	"ELF_45"	"1"	"2010"
"ELF_272"	"*"	"*"	"2"	"*"
"ELF_273"	"ELF_488"	"*"	"2"	"2010"
"ELF_275"	"ELF_7"	"M0015"	"1"	"2010"
"ELF_276"	"ELF_37"	"M0013"	"2"	"2008"
"ELF_277"	"*"	"*"	"2"	"2002"
"ELF_278"	"F0013"	"ELF_30"	"2"	"2010"
"ELF_28"	"*"	"*"	"1"	"*"
"ELF_280"	"ELF_309"	"M0022"	"1"	"2010"
"ELF_281"	"F0032"	"*"	"2"	"*"
"ELF_282"	"ELF_383"	"ELF_150"	"2"	"2010"
"ELF_283"	"ELF_309"	"M0022"	"1"	"2010"
"ELF_284"	"F0007"	"ELF_350"	"1"	"2010"
"ELF_285"	"F0004"	"ELF_370"	"2"	"2011"
"ELF_286"	"F0001"	"ELF_347"	"1"	"2011"
"ELF_287"	"ELF_318"	"M0017"	"2"	"2010"
"ELF_288"	"ELF_32"	"ELF_142"	"1"	"2011"
"ELF_29"	"F0011"	"M0039"	"2"	"2006"
"ELF_290"	"F0006"	"ELF_195"	"1"	"2011"
"ELF_291"	"ELF_35"	"ELF_153"	"2"	"2010"
"ELF_292"	"ELF_135"	"ELF_26"	"2"	"2011"
"ELF_293"	"F0021"	"M0017"	"1"	"2010"
"ELF_294"	"ELF_67"	"M0016"	"2"	"2010"
"ELF_297"	"F0005"	"M0016"	"2"	"2010"
"ELF_298"	"ELF_335"	"ELF_40"	"1"	"2010"
"ELF_299"	"ELF_198"	"M0043"	"1"	"2011"
"ELF_30"	"F0040"	"M0049"	"2"	"*"
"ELF_300"	"F0004"	"ELF_370"	"1"	"2011"
"ELF_302"	"ELF_32"	"ELF_142"	"1"	"2011"
"ELF_304"	"F0013"	"ELF_30"	"1"	"2010"
"ELF_305"	"F0021"	"M0017"	"1"	"*"
"ELF_306"	"*"	"*"	"2"	"1999"
"ELF_308"	"F0001"	"ELF_347"	"2"	"2011"
"ELF_309"	"*"	"*"	"1"	"*"
"ELF_31"	"ELF_155"	"M0022"	"2"	"*"
"ELF_310"	"ELF_672"	"M0013"	"2"	"2011"
"ELF_311"	"F0004"	"ELF_370"	"1"	"2011"
"ELF_312"	"F0010"	"M0033"	"2"	"2011"
"ELF_313"	"F0001"	"ELF_347"	"2"	"2011"
"ELF_314"	"F0023"	"M0037"	"2"	"2011"
"ELF_316"	"F0028"	"ELF_43"	"1"	"2003"
"ELF_318"	"F0031"	"M0034"	"1"	"2000"
"ELF_32"	"ELF_70"	"M0045"	"1"	"2006"
"ELF_320"	"F0028"	"ELF_43"	"1"	"*"
"ELF_321"	"F0011"	"ELF_130"	"1"	"*"
"ELF_322"	"ELF_351"	"M0036"	"2"	"*"
"ELF_323"	"ELF_166"	"M0050"	"2"	"*"
"ELF_324"	"ELF_65"	"M0016"	"1"	"*"
"ELF_325"	"ELF_135"	"M0028"	"2"	"2011"
"ELF_326"	"ELF_157"	"M0022"	"1"	"*"
"ELF_328"	"F0021"	"M0017"	"1"	"*"
"ELF_329"	"*"	"*"	"1"	"2001"
"ELF_33"	"F0026"	"M0053"	"1"	"*"
"ELF_330"	"F0033"	"ELF_306"	"1"	"*"
"ELF_331"	"ELF_135"	"ELF_26"	"1"	"2011"
"ELF_334"	"ELF_351"	"M0036"	"1"	"*"
"ELF_335"	"F0024"	"M0044"	"1"	"1999"
"ELF_336"	"ELF_351"	"ELF_130"	"2"	"2011"
"ELF_337"	"ELF_329"	"ELF_306"	"2"	"2010"
"ELF_338"	"F0034"	"M0054"	"1"	"*"
"ELF_339"	"F0012"	"M0026"	"2"	"2011"
"ELF_34"	"F0029"	"M0051"	"1"	"*"
"ELF_340"	"F0012"	"M0026"	"1"	"2011"
"ELF_341"	"ELF_69"	"M0012"	"2"	"*"
"ELF_342"	"ELF_326"	"M0008"	"2"	"*"
"ELF_343"	"ELF_101"	"M0003"	"1"	"2009"
"ELF_344"	"ELF_78"	"ELF_45"	"1"	"2009"
"ELF_345"	"ELF_53"	"*"	"1"	"2009"
"ELF_346"	"ELF_144"	"M0008"	"1"	"2009"
"ELF_347"	"*"	"*"	"2"	"*"
"ELF_348"	"ELF_388"	"M0039"	"1"	"2011"
"ELF_349"	"F0034"	"M0054"	"2"	"*"
"ELF_35"	"*"	"*"	"1"	"*"
