"ID"	"DAM"	"SIRE"	"SEX"	"COHORT"
"F0001"	"*"	"*"	"*"	"*"
"F0002"	"*"	"*"	"*"	"*"
"F0003"	"*"	"*"	"*"	"*"
"F0004"	"*"	"*"	"*"	"*"
"F0005"	"*"	"*"	"*"	"*"
"F0006"	"*"	"*"	"*"	"*"
"F0007"	"*"	"*"	"*"	"*"
"F0008"	"*"	"*"	"*"	"*"
"F0009"	"*"	"*"	"*"	"*"
"F0010"	"*"	"*"	"*"	"*"
"F0011"	"*"	"*"	"*"	"*"
"F0012"	"*"	"*"	"*"	"*"
"F0013"	"*"	"*"	"*"	"*"
"F0014"	"*"	"*"	"*"	"*"
"F0015"	"*"	"*"	"*"	"*"
"F0016"	"*"	"*"	"*"	"*"
"F0017"	"*"	"*"	"*"	"*"
"M0001"	"*"	"*"	"*"	"*"
"M0002"	"*"	"*"	"*"	"*"
"M0003"	"PCC_27"	"PCC_95"	"*"	"*"
"M0004"	"*"	"*"	"*"	"*"
"M0005"	"*"	"*"	"*"	"*"
"M0006"	"*"	"*"	"*"	"*"
"M0007"	"*"	"*"	"*"	"*"
"M0008"	"PCC_10"	"M0005"	"*"	"*"
"M0009"	"*"	"*"	"*"	"*"
"M0010"	"*"	"*"	"*"	"*"
"M0011"	"F0009"	"M0028"	"*"	"*"
"M0012"	"PCC_147"	"*"	"*"	"*"
"M0013"	"F0011"	"M0019"	"*"	"*"
"M0014"	"*"	"*"	"*"	"*"
"M0015"	"*"	"*"	"*"	"*"
"M0016"	"F0008"	"*"	"*"	"*"
"M0017"	"*"	"*"	"*"	"*"
"M0018"	"*"	"*"	"*"	"*"
"M0019"	"*"	"*"	"*"	"*"
"M0020"	"*"	"*"	"*"	"*"
"M0021"	"*"	"*"	"*"	"*"
"M0022"	"*"	"*"	"*"	"*"
"M0023"	"*"	"*"	"*"	"*"
"M0024"	"*"	"*"	"*"	"*"
"M0025"	"*"	"*"	"*"	"*"
"M0026"	"*"	"*"	"*"	"*"
